二	⿱一一
丁	⿱一亅
卜	⿰丨丶
八	⿰丿乀
儿	⿰丿乚
匕	⿺乚丿
刁	⿹𠃌㇀
刀	⿹𠃌丿
三	⿳一一一
干	⿱一十
于	⿱一𬺰
亏	⿱二㇉
工	⿱一丄
士	⿱十一
才	⿹𬺰丿
下	⿱一卜
寸	⿹𬺰丶
与	⿹与w一
万	⿱一勹w
上	⿱⺊一
小	⿲丿亅丶
千	⿱丿十
乞	⿱𠂉乙
川	⿲丿丨丨
亿	⿰亻乙
个	⿱人丨
夕	⿴𠂊丶
么	⿱丿厶
勺	⿹勹丶
凡	⿵几丶
丸	⿻九丶
广	⿱丶厂
亡	⿱亠𠃊
义	⿱丶乂
子	⿻了一
卫	⿱𠃌丄
刃	⿹刀丿
飞	⿺⺄冫f
习	⿹𠃌冫
叉	⿴又丶
王	⿱一土
开	⿱一廾
天	⿱一大
元	⿱二儿
云	⿱二厶
扎	⿰扌乚
艺	⿱艹乙
五	⿱一𫝀
支	⿱十又
厅	⿸厂丁
犬	⿺大丶
太	⿵大丶
区	⿷匸㐅
历	⿸厂力
歹	⿱一夕
友	⿸𠂇又
尤	⿺尢丶
匹	⿷匸儿
巨	⿷匚コ
戈	⿺𭠍丶
比	⿰匕匕
互	⿱一彑
切	⿰七刀
少	⿱小丿
冈	⿵冂㐅
内	⿻人冂
午	⿱𠂉十
壬	⿱丿士
夭	⿱丿大
仁	⿰亻二
什	⿰亻十
仆	⿰亻卜
化	⿰亻𠤎
仇	⿰亻九
币	⿱丿巾
仍	⿰亻乃
仅	⿰亻又
斤	⿸𠂆丅
反	⿸𠂆又
介	⿱人八c
父	⿱八乂
从	⿰人人
仑	⿱人匕
今	⿱亽㇇
凶	⿶凵㐅
分	⿱八刀
乏	⿱丿之
公	⿱八厶
仓	⿱人㔾
勿	⿹勹勿n
欠	⿱𠂊人
风	⿵𠘨㐅
匀	⿹勹冫
勾	⿹勹厶
凤	⿵𠘨又
六	⿱亠八b
文	⿱亠乂
亢	⿱亠几
方	⿱亠勹w
斗	⿽十⺀
忆	⿰忄乙
计	⿰讠十
订	⿰讠丁
户	⿱丶尸
认	⿰讠人
冗	⿱冖几
讥	⿰讠几
尺	⿸尸乀
引	⿰弓丨
孔	⿰子乚
队	⿰阝人
办	⿲丿力丶
允	⿱厶儿
予	⿳龴乛亅
